account_number,meter_id,service_address,billing_period_start,billing_period_end,bill_date,due_date,reading_type,prev_reading_kwh,curr_reading_kwh,consumption_kwh,demand_kw,supply_charge_inr,distribution_charge_inr,fuel_adjustment_inr,tod_peak_kwh,tod_offpeak_kwh,power_factor_penalty_inr,electricity_duty_inr,total_amount_inr,tariff_code,rate_per_kwh,currency
MSEDCL-ENT-00451,MTR-PNE-001,Plot 42 Bhosari MIDC Pune 411026,2024-01-04,2024-02-03,2024-02-05,2024-02-20,ACTUAL,1482350,1498620,16270,142.5,1200.00,138295.00,4072.50,9762,6508,0.00,14236.75,157804.25,HT-1A,8.51,INR
MSEDCL-ENT-00451,MTR-PNE-002,Plot 42 Bhosari MIDC Pune 411026,2024-01-04,2024-02-03,2024-02-05,2024-02-20,ACTUAL,842100,851340,9240,88.0,1200.00,78561.60,2310.00,5544,3696,0.00,8207.16,90278.76,HT-1A,8.51,INR
TNEB-ENT-00812,MTR-CHN-001,SIPCOT Industrial Complex Chennai 600097,2023-12-28,2024-01-29,2024-01-31,2024-02-15,ACTUAL,2105800,2129450,23650,198.0,2500.00,168521.50,0.00,15372,8278,3200.00,17404.15,191625.65,HT-II,7.12,INR
TNEB-ENT-00812,MTR-CHN-002,SIPCOT Industrial Complex Chennai 600097,2023-12-28,2024-01-29,2024-01-31,2024-02-15,ESTIMATED,985600,996800,11200,0.0,2500.00,79744.00,0.00,0,11200,0.00,8227.44,90471.44,LT-IV,7.12,INR
DGVCL-ENT-01125,MTR-AMD-001,Sanand Industrial Estate Ahmedabad 382110,2024-01-06,2024-02-06,2024-02-08,2024-02-22,ACTUAL,3210500,3231800,21300,175.0,1800.00,136320.00,5325.00,12780,8520,0.00,14344.50,157789.50,HT-General,7.50,INR
BESCOM-ENT-02200,MTR-BLR-001,Electronics City Phase 1 Bengaluru 560100,2024-01-02,2024-02-01,2024-02-03,2024-02-18,ACTUAL,1650200,1668950,18750,155.5,1500.00,131625.00,3750.00,11250,7500,1200.00,13807.50,151882.50,HT-2B,7.02,INR
MSEDCL-ENT-00451,MTR-PNE-001,Plot 42 Bhosari MIDC Pune 411026,2024-02-04,2024-03-04,2024-03-06,2024-03-21,ACTUAL,1498620,1515480,16860,148.0,1200.00,143385.60,4215.00,10116,6744,0.00,14880.06,163680.66,HT-1A,8.51,INR
MSEDCL-ENT-00451,MTR-PNE-002,Plot 42 Bhosari MIDC Pune 411026,2024-02-04,2024-03-04,2024-03-06,2024-03-21,ACTUAL,851340,860980,9640,91.5,1200.00,81963.20,2410.00,5784,3856,0.00,8557.32,94130.52,HT-1A,8.51,INR
TNEB-ENT-00812,MTR-CHN-001,SIPCOT Industrial Complex Chennai 600097,2024-01-30,2024-03-01,2024-03-04,2024-03-18,ACTUAL,2129450,2154900,25450,210.0,2500.00,181204.00,0.00,16543,8907,4100.00,18780.40,206584.40,HT-II,7.12,INR
TNEB-ENT-00812,MTR-CHN-002,SIPCOT Industrial Complex Chennai 600097,2024-01-30,2024-03-01,2024-03-04,2024-03-18,ACTUAL,996800,1008500,11700,95.0,2500.00,83304.00,0.00,7020,4680,0.00,8580.40,94384.40,LT-IV,7.12,INR
DGVCL-ENT-01125,MTR-AMD-001,Sanand Industrial Estate Ahmedabad 382110,2024-02-07,2024-03-07,2024-03-09,2024-03-23,ACTUAL,3231800,3253800,22000,182.0,1800.00,140800.00,5500.00,13200,8800,0.00,14810.00,162910.00,HT-General,7.50,INR
BESCOM-ENT-02200,MTR-BLR-001,Electronics City Phase 1 Bengaluru 560100,2024-02-02,2024-03-03,2024-03-05,2024-03-20,ACTUAL,1668950,1688300,19350,159.0,1500.00,135795.00,3870.00,11610,7740,0.00,14116.50,155281.50,HT-2B,7.02,INR
MSEDCL-ENT-00451,MTR-PNE-001,Plot 42 Bhosari MIDC Pune 411026,2024-03-05,2024-04-03,2024-04-05,2024-04-20,ESTIMATED,1515480,1533020,17540,0.0,1200.00,149215.40,4385.00,0,17540,0.00,15380.04,170180.44,HT-1A,8.51,INR
MSEDCL-ENT-00451,MTR-PNE-002,Plot 42 Bhosari MIDC Pune 411026,2024-03-05,2024-04-03,2024-04-05,2024-04-20,ACTUAL,860980,870940,9960,93.0,1200.00,84699.60,2490.00,5976,3984,0.00,8838.96,97228.56,HT-1A,8.51,INR
TNEB-ENT-00812,MTR-CHN-001,SIPCOT Industrial Complex Chennai 600097,2024-03-02,2024-04-02,2024-04-04,2024-04-19,ACTUAL,2154900,2180100,25200,205.0,2500.00,179424.00,0.00,16380,8820,3900.00,18532.40,204356.40,HT-II,7.12,INR
BESCOM-ENT-02200,MTR-BLR-001,Electronics City Phase 1 Bengaluru 560100,2024-03-04,2024-04-02,2024-04-04,2024-04-19,ACTUAL,1688300,1707500,19200,160.5,1500.00,134784.00,3840.00,11520,7680,0.00,14012.40,154136.40,HT-2B,7.02,INR
